Time,Attack,,Type,Damage
00:11,Call Me Honey,,Magical,"140,000"
00:18,Drop of Venom or Splash of Venom (Cast),,,
00:29,Honey Beeline or Tempting Twist,,,
00:34,Drop of Venom or Splash of Venom,,Magical,"140,000"
00:40,Drop of Venom or Splash of Venom (Cast),,,
00:48,Honey Beeline or Tempting Twist,,,
00:53,Drop of Venom or Splash of Venom,,Magical,"140,000",,
01:01,Killer Sting or Stinging Slash,,Physical,"400,000"
01:19,Honey B. Live: 1st Beat,,Magical,"140,000"
01:27,Centerstage Combo or Outerstage Combo,,,
01:28,Slash,,,
01:31,Slash,,,
01:35,Slash,,,
01:43,Love Me Tender (Towers spawn),,,
01:53,Fracture (Tower),,Magical,"12,000"
01:57,Fracture (Tower),,Magical,"12,000"
02:01,Fracture (Tower),,Magical,"12,000"
02:05,Fracture (Tower),,Magical,"12,000"
02:09,Fracture (Tower),,Magical,"12,000"
02:13,Fracture (Tower),,Magical,"12,000"
02:17,Loveseeker,,,
02:30,Love Me Tender,,,
02:38,Heartsick,,Magical,"42,000"
02:49,Centerstage Combo or Outerstage Combo,,,
02:50,Slash,,,
02:53,Slash,,,
02:56,Slash,,,
03:07,Honey B. Finale,,Magical,"145,000"
03:22,Killer Sting or Stinging Slash,,Physical,"400,000"
03:30,Alarm Pheromones,,,
03:41,Blinding Love (first hit),,,
03:58,Blinding Love (last hit),,,
04:14,Honey B. Live: 2nd Beat,,Magical,"140,000"
04:22,Spread Love or Drop of Love,,,
04:32,Love Me Tender,,,
04:40,Heartsick (Stack),,Magical,"42,000"
04:46,Heartsore,,Magical,"92,000"
04:47,Fracture (Towers),,Magical,"12,000"
04:57,Honey Beeline or Tempting Twist,,,
05:01,Spread Love or Drop of Love,,Magical,"140,000"
05:10,Honey B. Finale,,Magical,"145,000"
05:29,Drop of Venom or Splash of Venom (Cast),,,
05:34,Alarm Pheromones,,,
05:43,Poison Sting,,Magical,"70,000"
05:43,Blinding Love,,,
05:48,Poison Sting,,Magical,"70,000"
05:48,Blinding Love,,,
05:53,Poison Sting,,Magical,"70,000"
05:53,Blinding Love,,,
05:58,Poison Sting,,Magical,"70,000"
05:58,Blinding Love,,,
06:03,Blinding Love,,,
06:08,Bee Sting,,Physical,"140,000"
06:08,Blinding Love,,,
06:16,Killer Sting,,Physical,"400,000"
06:29,Honey Beeline or Tempting Twist,,,
06:34,Drop of Venom or Splash of Venom,,Magical,"140,000"
06:53,Honey B. Live: 3rd Beat,,Magical,"140,000"
07:00,Spread Love or Drop of Love,,,
07:07,Centerstage Combo or Outerstage Combo,,,
07:08,Slash,,,
07:11,Slash,,,
07:15,Slash,,,
07:19,Big Burst,,Magical,"100,000"
07:23,Fracture (Tower),,Magical,"12,000"
07:27,Centerstage Combo or Outerstage Combo,,,
07:28,Slash,,,
07:31,Slash,,,
07:34,Slash,,,
07:39,Big Burst,,Magical,"100,000"
07:42,Fracture (Tower),,Magical,"12,000"
07:53,Honey Beeline or Tempting Twist,,,
07:57,Drop of Venom or Splash of Venom,,Magical,"140,000"
08:05,Honey B. Finale,,Magical,"145,000",
08:19,Killer Sting or Stinging Slash,,Physical,"400,000"
08:35,Rotten Heart,,Magical,"140,000"
08:40,Big Burst,,Magical,"70,000"
08:52,Call Me Honey,,Magical,"130,000"
08:58,Big Burst,,,
09:09,Call Me Honey,,Magical,"130,000"
09:15,Big Burst,,Magical,"70,000"
09:26,Call Me Honey,,Magical,"130,000"
09:32,Big Burst,,Magical,"70,000"
09:43,Call Me Honey,,Magical,"130,000"
10:06,Sheer Heart Attack,,,
10:09,Honey B. Finale,,Special,"9,999,999"
